SalesPrice,MSSubClass,MSZoning,LotFrontage,LotArea,GrLivArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,pool,OverallQual,OverallCond,YearBuilt,YearRemodAdd,FullBath,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageCars,GarageArea,GarageCond,OpenPorchSF,MiscVal,Furnished,TotalSqFt
138700,160,RM,21,2217,1092,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,4,4,1970,1970,1,1,TA,0,Attchd,1,286,TA,0,0,no,1638
106800,180,RM,21,1477,630,Reg,Inside,Lafield,Norm,TwnhsE,SFoyer,no,4,4,1970,1970,1,1,TA,0,Attchd,1,286,TA,0,0,no,1260
125700,160,RM,21,2001,1092,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,4,5,1970,1970,1,1,TA,0,Attchd,1,286,TA,0,0,no,1638
129500,180,RM,21,1936,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,6,1970,1970,1,1,TA,0,NA,0,0,NA,0,0,no,1260
297200,160,RM,21,1533,1344,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,4,6,1970,2008,1,1,TA,1,NA,0,0,NA,0,0,no,1890
154000,160,RM,21,1869,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,6,1970,1970,1,1,TA,0,Detchd,1,280,TA,0,0,no,1470
129400,180,RM,21,1533,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,5,7,1970,1970,1,1,Ex,0,NA,0,0,NA,0,0,no,1260
136500,180,RM,21,1526,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,8,1970,2002,1,1,Gd,0,Attchd,1,286,TA,0,0,no,1260
138600,160,RM,21,1680,987,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,6,3,1971,1971,1,1,TA,0,Detchd,1,264,TA,0,0,no,1470
151900,160,RM,21,1680,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,NA,0,0,NA,0,0,yes,1890
116900,160,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,Detchd,1,264,TA,0,0,no,1470
124600,160,RM,21,1680,1092,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,Detchd,1,264,TA,0,0,no,1617
157500,160,RM,21,1680,1302,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,5,5,1971,1971,2,1,TA,0,Detchd,1,280,TA,0,0,no,1932
160800,160,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1972,1972,1,1,TA,1,Attchd,1,288,TA,0,0,no,1470
99100,180,RM,21,1491,630,Reg,Inside,Lafield,Norm,TwnhsE,SFoyer,no,4,6,1972,1972,1,1,TA,0,NA,0,0,NA,24,0,no,1260
134300,180,RM,21,1890,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,7,1972,1972,1,1,TA,0,NA,0,0,NA,0,0,yes,1260
183100,160,RM,21,1680,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,7,1972,1972,1,1,TA,0,Detchd,1,264,TA,28,0,no,1890
152100,160,RM,21,1680,1302,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,5,7,1972,1972,2,1,TA,0,Detchd,1,264,TA,0,0,no,1932
270600,160,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,8,1972,2007,1,1,Gd,0,Detchd,1,264,TA,0,0,no,1470
160800,160,RM,21,1953,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,Detchd,1,264,TA,0,0,no,1470
188200,160,RM,21,1890,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,Detchd,1,264,TA,28,0,no,1890
